Sentence_A,Sentence_B,origin,frequency,freq_cat,pair_id,rating_anticonic_causal,rating_iconic_causal,rating_anticonic_temporal,rating_iconic_temporal,human_preferred_connective,human_preferred_connective_desc,human_preferred_connective_unrel,tested_relation,tested_order,relation_human,order_human,condition_human,tested_connective,additional_dimension
Luca's father is very religious.,Luca's father forced him obey to the precepts of his religion.,origin,0,1_rare,14,5.533333333333333,9.2,2.466666666666667,6.8,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Bob believes in the tooth fairy.,Bob is very childish.,origin,0,1_rare,15,7.8,6.4,1.8,3.2666666666666666,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",after,socially_challenging
Bob believes in the tooth fairy.,Bob is very childish.,origin,3,1_rare,15,7.8,6.4,1.8,3.2666666666666666,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",because,socially_challenging
Bob believes in the tooth fairy.,Bob is very childish.,origin,2,1_rare,15,7.8,6.4,1.8,3.2666666666666666,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",so,socially_challenging
Bob believes in the tooth fairy.,Bob is very childish.,origin,0,1_rare,15,7.8,6.4,1.8,3.2666666666666666,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",then,socially_challenging
Bob is very childish.,Bob believes in the tooth fairy.,origin,0,1_rare,15,7.933333333333334,8.866666666666667,2.333333333333333,2.8,so,iconic_caus,so,causality,A follows B,Causal,"A,B","Causal-A,B",after,socially_challenging
Bob is very childish.,Bob believes in the tooth fairy.,origin,4,1_rare,15,7.933333333333334,8.866666666666667,2.333333333333333,2.8,so,iconic_caus,so,causality,A follows B,Causal,"A,B","Causal-A,B",because,socially_challenging
Bob is very childish.,Bob believes in the tooth fairy.,origin,3,1_rare,15,7.933333333333334,8.866666666666667,2.333333333333333,2.8,so,iconic_caus,so,causality,A follows B,Causal,"A,B","Causal-A,B",so,socially_challenging
Bob is very childish.,Bob believes in the tooth fairy.,origin,1,1_rare,15,7.933333333333334,8.866666666666667,2.333333333333333,2.8,so,iconic_caus,so,causality,A follows B,Causal,"A,B","Causal-A,B",then,socially_challenging
Gary decided to copy the History essay rather than write it by himself.,Gary does not like to study History.,origin,0,1_rare,16,9.266666666666667,4.466666666666667,2.333333333333333,2.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Gary decided to copy the History essay rather than write it by himself.,Gary does not like to study History.,origin,0,1_rare,16,9.266666666666667,4.466666666666667,2.333333333333333,2.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Gary decided to copy the History essay rather than write it by himself.,Gary does not like to study History.,origin,0,1_rare,16,9.266666666666667,4.466666666666667,2.333333333333333,2.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Gary decided to copy the History essay rather than write it by himself.,Gary does not like to study History.,origin,0,1_rare,16,9.266666666666667,4.466666666666667,2.333333333333333,2.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Gary does not like to study History.,Gary decided to copy the History essay rather than write it by himself.,origin,0,1_rare,16,2.066666666666667,8.2,3.933333333333333,4.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Gary does not like to study History.,Gary decided to copy the History essay rather than write it by himself.,origin,0,1_rare,16,2.066666666666667,8.2,3.933333333333333,4.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Gary does not like to study History.,Gary decided to copy the History essay rather than write it by himself.,origin,0,1_rare,16,2.066666666666667,8.2,3.933333333333333,4.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Gary does not like to study History.,Gary decided to copy the History essay rather than write it by himself.,origin,0,1_rare,16,2.066666666666667,8.2,3.933333333333333,4.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Eric eats twenty chocolate bars.,Eric will become fat.,origin,211,3_common,17,1.2,8.066666666666666,4.733333333333333,6.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Eric eats twenty chocolate bars.,Eric will become fat.,origin,241,3_common,17,1.2,8.066666666666666,4.733333333333333,6.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Eric eats twenty chocolate bars.,Eric will become fat.,origin,688,4_frequent,17,1.2,8.066666666666666,4.733333333333333,6.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Eric eats twenty chocolate bars.,Eric will become fat.,origin,485,3_common,17,1.2,8.066666666666666,4.733333333333333,6.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Eric will become fat.,Eric eats twenty chocolate bars.,origin,1019,4_frequent,17,9.066666666666666,2.066666666666667,6.733333333333333,1.6666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Eric will become fat.,Eric eats twenty chocolate bars.,origin,358,3_common,17,9.066666666666666,2.066666666666667,6.733333333333333,1.6666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Eric will become fat.,Eric eats twenty chocolate bars.,origin,593,4_frequent,17,9.066666666666666,2.066666666666667,6.733333333333333,1.6666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Eric will become fat.,Eric eats twenty chocolate bars.,origin,206,3_common,17,9.066666666666666,2.066666666666667,6.733333333333333,1.6666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Kelly wants to have children.,The company manager did not hire Kelly.,origin,699,4_frequent,18,1.1333333333333333,8.4,2.8,4.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Kelly wants to have children.,The company manager did not hire Kelly.,origin,840,4_frequent,18,1.1333333333333333,8.4,2.8,4.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Kelly wants to have children.,The company manager did not hire Kelly.,origin,1013,4_frequent,18,1.1333333333333333,8.4,2.8,4.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Kelly wants to have children.,The company manager did not hire Kelly.,origin,935,4_frequent,18,1.1333333333333333,8.4,2.8,4.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
The company manager did not hire Kelly.,Kelly wants to have children.,origin,1003,4_frequent,18,8.333333333333334,2.533333333333333,3.733333333333333,1.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
The company manager did not hire Kelly.,Kelly wants to have children.,origin,1027,4_frequent,18,8.333333333333334,2.533333333333333,3.733333333333333,1.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
The company manager did not hire Kelly.,Kelly wants to have children.,origin,1016,4_frequent,18,8.333333333333334,2.533333333333333,3.733333333333333,1.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
The company manager did not hire Kelly.,Kelly wants to have children.,origin,1026,4_frequent,18,8.333333333333334,2.533333333333333,3.733333333333333,1.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Morgan is a bad parent.,Morgan scolds his child.,origin,0,1_rare,19,8.4,6.8,4.333333333333333,2.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Morgan is a bad parent.,Morgan scolds his child.,origin,1,1_rare,19,8.4,6.8,4.333333333333333,2.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Morgan is a bad parent.,Morgan scolds his child.,origin,1,1_rare,19,8.4,6.8,4.333333333333333,2.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Morgan is a bad parent.,Morgan scolds his child.,origin,0,1_rare,19,8.4,6.8,4.333333333333333,2.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Morgan scolds his child.,Morgan is a bad parent.,origin,0,1_rare,19,8.133333333333333,7.066666666666666,3.933333333333333,2.1333333333333333,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",after,socially_challenging
Morgan scolds his child.,Morgan is a bad parent.,origin,0,1_rare,19,8.133333333333333,7.066666666666666,3.933333333333333,2.1333333333333333,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",because,socially_challenging
Morgan scolds his child.,Morgan is a bad parent.,origin,0,1_rare,19,8.133333333333333,7.066666666666666,3.933333333333333,2.1333333333333333,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",so,socially_challenging
Morgan scolds his child.,Morgan is a bad parent.,origin,0,1_rare,19,8.133333333333333,7.066666666666666,3.933333333333333,2.1333333333333333,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",then,socially_challenging
Melanie did not have her children vaccinated.,Melanie thinks vaccines are toxic.,origin,5,2_uncommon,20,9.866666666666667,4.133333333333334,5.2,1.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Melanie did not have her children vaccinated.,Melanie thinks vaccines are toxic.,origin,79,3_common,20,9.866666666666667,4.133333333333334,5.2,1.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Melanie did not have her children vaccinated.,Melanie thinks vaccines are toxic.,origin,45,2_uncommon,20,9.866666666666667,4.133333333333334,5.2,1.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Melanie did not have her children vaccinated.,Melanie thinks vaccines are toxic.,origin,25,2_uncommon,20,9.866666666666667,4.133333333333334,5.2,1.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Melanie thinks vaccines are toxic.,Melanie did not have her children vaccinated.,origin,10,2_uncommon,20,3.333333333333333,8.866666666666667,4.8,7.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Melanie thinks vaccines are toxic.,Melanie did not have her children vaccinated.,origin,45,2_uncommon,20,3.333333333333333,8.866666666666667,4.8,7.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Melanie thinks vaccines are toxic.,Melanie did not have her children vaccinated.,origin,13,2_uncommon,20,3.333333333333333,8.866666666666667,4.8,7.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Melanie thinks vaccines are toxic.,Melanie did not have her children vaccinated.,origin,3,1_rare,20,3.333333333333333,8.866666666666667,4.8,7.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Mark has a lot of sex.,Mark is a prostitute.,origin,10,2_uncommon,21,8.133333333333333,2.333333333333333,2.066666666666667,1.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Mark has a lot of sex.,Mark is a prostitute.,origin,23,2_uncommon,21,8.133333333333333,2.333333333333333,2.066666666666667,1.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Mark has a lot of sex.,Mark is a prostitute.,origin,6,2_uncommon,21,8.133333333333333,2.333333333333333,2.066666666666667,1.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Mark has a lot of sex.,Mark is a prostitute.,origin,5,2_uncommon,21,8.133333333333333,2.333333333333333,2.066666666666667,1.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Mark is a prostitute.,Mark has a lot of sex.,origin,10,2_uncommon,21,3.333333333333333,8.733333333333333,2.933333333333333,5.6,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Mark is a prostitute.,Mark has a lot of sex.,origin,46,2_uncommon,21,3.333333333333333,8.733333333333333,2.933333333333333,5.6,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Mark is a prostitute.,Mark has a lot of sex.,origin,21,2_uncommon,21,3.333333333333333,8.733333333333333,2.933333333333333,5.6,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Mark is a prostitute.,Mark has a lot of sex.,origin,22,2_uncommon,21,3.333333333333333,8.733333333333333,2.933333333333333,5.6,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Jeff decided to drink a glass of whiskey instead of four.,Jeff is the designated driver tonight.,origin,1,1_rare,22,8.0,7.466666666666667,2.466666666666667,3.2666666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Jeff decided to drink a glass of whiskey instead of four.,Jeff is the designated driver tonight.,origin,3,1_rare,22,8.0,7.466666666666667,2.466666666666667,3.2666666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Jeff decided to drink a glass of whiskey instead of four.,Jeff is the designated driver tonight.,origin,7,2_uncommon,22,8.0,7.466666666666667,2.466666666666667,3.2666666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Jeff decided to drink a glass of whiskey instead of four.,Jeff is the designated driver tonight.,origin,1,1_rare,22,8.0,7.466666666666667,2.466666666666667,3.2666666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Jeff is the designated driver tonight.,Jeff decided to drink a glass of whiskey instead of four.,origin,0,1_rare,22,3.866666666666666,6.4,4.733333333333333,3.1333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Jeff is the designated driver tonight.,Jeff decided to drink a glass of whiskey instead of four.,origin,5,2_uncommon,22,3.866666666666666,6.4,4.733333333333333,3.1333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Jeff is the designated driver tonight.,Jeff decided to drink a glass of whiskey instead of four.,origin,14,2_uncommon,22,3.866666666666666,6.4,4.733333333333333,3.1333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Jeff is the designated driver tonight.,Jeff decided to drink a glass of whiskey instead of four.,origin,1,1_rare,22,3.866666666666666,6.4,4.733333333333333,3.1333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Karen is a transgender woman.,Karen's parents do not like her.,origin,11,2_uncommon,23,1.5333333333333334,7.4,2.466666666666667,2.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Karen is a transgender woman.,Karen's parents do not like her.,origin,55,2_uncommon,23,1.5333333333333334,7.4,2.466666666666667,2.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Karen is a transgender woman.,Karen's parents do not like her.,origin,38,2_uncommon,23,1.5333333333333334,7.4,2.466666666666667,2.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Karen is a transgender woman.,Karen's parents do not like her.,origin,15,2_uncommon,23,1.5333333333333334,7.4,2.466666666666667,2.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Karen's parents do not like her.,Karen is a transgender woman.,origin,8,2_uncommon,23,8.666666666666666,1.4666666666666666,2.8666666666666667,1.933333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Karen's parents do not like her.,Karen is a transgender woman.,origin,171,3_common,23,8.666666666666666,1.4666666666666666,2.8666666666666667,1.933333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Karen's parents do not like her.,Karen is a transgender woman.,origin,32,2_uncommon,23,8.666666666666666,1.4666666666666666,2.8666666666666667,1.933333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Karen's parents do not like her.,Karen is a transgender woman.,origin,13,2_uncommon,23,8.666666666666666,1.4666666666666666,2.8666666666666667,1.933333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Mike does not help patients have abortions.,Mike is an objecting doctor.,origin,79,3_common,24,7.733333333333333,6.733333333333333,2.2,4.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Mike does not help patients have abortions.,Mike is an objecting doctor.,origin,180,3_common,24,7.733333333333333,6.733333333333333,2.2,4.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Mike does not help patients have abortions.,Mike is an objecting doctor.,origin,198,3_common,24,7.733333333333333,6.733333333333333,2.2,4.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Mike does not help patients have abortions.,Mike is an objecting doctor.,origin,59,3_common,24,7.733333333333333,6.733333333333333,2.2,4.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Mike is an objecting doctor.,Mike does not help patients have abortions.,origin,147,3_common,24,7.266666666666667,8.2,2.533333333333333,3.4,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Mike is an objecting doctor.,Mike does not help patients have abortions.,origin,288,3_common,24,7.266666666666667,8.2,2.533333333333333,3.4,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Mike is an objecting doctor.,Mike does not help patients have abortions.,origin,440,3_common,24,7.266666666666667,8.2,2.533333333333333,3.4,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Mike is an objecting doctor.,Mike does not help patients have abortions.,origin,128,3_common,24,7.266666666666667,8.2,2.533333333333333,3.4,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Luca and Mara broke up.,Mara did not want to have children.,origin,6,2_uncommon,25,9.4,3.533333333333333,8.066666666666666,5.666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Luca and Mara broke up.,Mara did not want to have children.,origin,2,1_rare,25,9.4,3.533333333333333,8.066666666666666,5.666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Luca and Mara broke up.,Mara did not want to have children.,origin,9,2_uncommon,25,9.4,3.533333333333333,8.066666666666666,5.666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Luca and Mara broke up.,Mara did not want to have children.,origin,3,1_rare,25,9.4,3.533333333333333,8.066666666666666,5.666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Mara did not want to have children.,Luca and Mara broke up.,origin,2,1_rare,25,5.333333333333333,8.533333333333333,4.666666666666667,5.266666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Mara did not want to have children.,Luca and Mara broke up.,origin,3,1_rare,25,5.333333333333333,8.533333333333333,4.666666666666667,5.266666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Mara did not want to have children.,Luca and Mara broke up.,origin,9,2_uncommon,25,5.333333333333333,8.533333333333333,4.666666666666667,5.266666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Mara did not want to have children.,Luca and Mara broke up.,origin,3,1_rare,25,5.333333333333333,8.533333333333333,4.666666666666667,5.266666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Lara did not tell her parents she was lesbian.,Lara's parents are homophobic.,origin,0,1_rare,26,9.4,1.933333333333333,4.333333333333333,2.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Lara did not tell her parents she was lesbian.,Lara's parents are homophobic.,origin,5,2_uncommon,26,9.4,1.933333333333333,4.333333333333333,2.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Lara did not tell her parents she was lesbian.,Lara's parents are homophobic.,origin,3,1_rare,26,9.4,1.933333333333333,4.333333333333333,2.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Lara did not tell her parents she was lesbian.,Lara's parents are homophobic.,origin,1,1_rare,26,9.4,1.933333333333333,4.333333333333333,2.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Lara's parents are homophobic.,Lara did not tell her parents she was lesbian.,origin,0,1_rare,26,2.533333333333333,9.6,3.2,4.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Lara's parents are homophobic.,Lara did not tell her parents she was lesbian.,origin,4,1_rare,26,2.533333333333333,9.6,3.2,4.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Lara's parents are homophobic.,Lara did not tell her parents she was lesbian.,origin,4,1_rare,26,2.533333333333333,9.6,3.2,4.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Lara's parents are homophobic.,Lara did not tell her parents she was lesbian.,origin,0,1_rare,26,2.533333333333333,9.6,3.2,4.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Karen did not like the cut the hairdresser gave her.,Karen insulted the hairdresser and refused to pay him.,origin,3,1_rare,27,3.6,9.533333333333331,4.333333333333333,7.6,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Karen did not like the cut the hairdresser gave her.,Karen insulted the hairdresser and refused to pay him.,origin,3,1_rare,27,3.6,9.533333333333331,4.333333333333333,7.6,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Karen did not like the cut the hairdresser gave her.,Karen insulted the hairdresser and refused to pay him.,origin,2,1_rare,27,3.6,9.533333333333331,4.333333333333333,7.6,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Karen did not like the cut the hairdresser gave her.,Karen insulted the hairdresser and refused to pay him.,origin,1,1_rare,27,3.6,9.533333333333331,4.333333333333333,7.6,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Karen insulted the hairdresser and refused to pay him.,Karen did not like the cut the hairdresser gave her.,origin,14,2_uncommon,27,9.066666666666666,5.133333333333334,9.666666666666666,2.2666666666666666,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",after,socially_challenging
Karen insulted the hairdresser and refused to pay him.,Karen did not like the cut the hairdresser gave her.,origin,11,2_uncommon,27,9.066666666666666,5.133333333333334,9.666666666666666,2.2666666666666666,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",because,socially_challenging
Karen insulted the hairdresser and refused to pay him.,Karen did not like the cut the hairdresser gave her.,origin,8,2_uncommon,27,9.066666666666666,5.133333333333334,9.666666666666666,2.2666666666666666,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",so,socially_challenging
Karen insulted the hairdresser and refused to pay him.,Karen did not like the cut the hairdresser gave her.,origin,6,2_uncommon,27,9.066666666666666,5.133333333333334,9.666666666666666,2.2666666666666666,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",then,socially_challenging
The boy had been in prison.,The shop owner refused to hire the boy.,origin,8,2_uncommon,28,2.333333333333333,9.133333333333333,2.0,6.466666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
The boy had been in prison.,The shop owner refused to hire the boy.,origin,24,2_uncommon,28,2.333333333333333,9.133333333333333,2.0,6.466666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
The boy had been in prison.,The shop owner refused to hire the boy.,origin,10,2_uncommon,28,2.333333333333333,9.133333333333333,2.0,6.466666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
The boy had been in prison.,The shop owner refused to hire the boy.,origin,2,1_rare,28,2.333333333333333,9.133333333333333,2.0,6.466666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
The shop owner refused to hire the boy.,The boy had been in prison.,origin,8,2_uncommon,28,9.933333333333334,1.8666666666666667,8.733333333333333,2.2666666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
The shop owner refused to hire the boy.,The boy had been in prison.,origin,230,3_common,28,9.933333333333334,1.8666666666666667,8.733333333333333,2.2666666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
The shop owner refused to hire the boy.,The boy had been in prison.,origin,10,2_uncommon,28,9.933333333333334,1.8666666666666667,8.733333333333333,2.2666666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
The shop owner refused to hire the boy.,The boy had been in prison.,origin,4,1_rare,28,9.933333333333334,1.8666666666666667,8.733333333333333,2.2666666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
The hunter is happy.,The hunter killed many animals.,origin,32,2_uncommon,29,8.8,5.0,7.4,4.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
The hunter is happy.,The hunter killed many animals.,origin,45,2_uncommon,29,8.8,5.0,7.4,4.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
The hunter is happy.,The hunter killed many animals.,origin,27,2_uncommon,29,8.8,5.0,7.4,4.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
The hunter is happy.,The hunter killed many animals.,origin,17,2_uncommon,29,8.8,5.0,7.4,4.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
The hunter killed many animals.,The hunter is happy.,origin,8,2_uncommon,29,2.2666666666666666,8.333333333333334,4.266666666666667,4.666666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
The hunter killed many animals.,The hunter is happy.,origin,41,2_uncommon,29,2.2666666666666666,8.333333333333334,4.266666666666667,4.666666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
The hunter killed many animals.,The hunter is happy.,origin,51,2_uncommon,29,2.2666666666666666,8.333333333333334,4.266666666666667,4.666666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
The hunter killed many animals.,The hunter is happy.,origin,35,2_uncommon,29,2.2666666666666666,8.333333333333334,4.266666666666667,4.666666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Edward attempted to kill his wife.,Edward's wife cheated on him.,origin,1,1_rare,30,9.066666666666666,3.533333333333333,7.933333333333334,4.066666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
